"ID","Appareil","Date d'installation","Utilisateur"
"71c6af37-e3a3-4b04-9a95-32a6b850a3e6","mobile","2026-02-08T16:15:17.001523+00:00",""
"d577e59e-9aef-46f3-840f-b2f69ee4a96f","mobile","2026-02-08T16:14:32.648227+00:00",""
"4ad78cc6-ffd5-4e27-b2df-57cc4d81ded6","mobile","2026-02-08T15:17:21.417923+00:00",""
